title,price,model,type,star_rating,reviews
"Acer One Core i3 11th Gen 1115G4 - (8 GB/512 GB SSD/Windows 11 Home) AO 14 Z 8-415 Thin and Light Laptop  (14 Inch, Silver, 1.49 Kg)","₹26,990",Z8-415,Thin and Light Laptop,4.2,"pros:- build quality is good considering price- display is also good (fhd ips panel)- overall good package- performance is good, gta v with 1080p low gives avg 32 fps. 720p low gives 45fps- type-c port is fully functional, you can connect external display with power delivery!!- battery is decent, will easily give 4+ hrs in normal usecons:- display has backlit bleed issue, only visible in full black output- wifi is pathetic, speed is 4x less, if you get 40mbps in mobile the...READ MORE"
"Acer One Core i3 11th Gen 1115G4 - (8 GB/512 GB SSD/Windows 11 Home) AO 14 Z 8-415 Thin and Light Laptop  (14 Inch, Silver, 1.49 Kg)","₹26,990",Z8-415,Thin and Light Laptop,4.2,Acer one core laptop purchased 26 Aug 2023 but display blink and keys not work but flipkart team is ignore all problems and no replacement and no refund I shamless flipkart pls don't buy any products with flipkartREAD MORE
"Acer One Core i3 11th Gen 1115G4 - (8 GB/512 GB SSD/Windows 11 Home) AO 14 Z 8-415 Thin and Light Laptop  (14 Inch, Silver, 1.49 Kg)","₹26,990",Z8-415,Thin and Light Laptop,4.2,"WRITING REVIEW AFTER 2 DAYS USE.FLIPKART DELIVERY IS EXCELLENT. I GOT DELIVERY IN ONE DAY.PROS:Boots in less than 12 secondsIPS DISPLAYLIGHT WEIGHT= 1.5KGPERFORMANCE AT PAR WITH OTHER I3 11TH GEN LAPTOPSSequential read write speed is 3100/2900 MBPSGEEK BENCHMARK 6 SCORESINGLE CORE 1877MULTI CORE 3350RAM USED SAMSUNG DDR4 3200MHZ, SINGLE CHANNEL.CONS:SSD NOT SHOWING IN SOFTWAREWIFI RECEPTION IS LOW. GIVES HALF THE SPEED COMPARED TO MY REALME 5 PRO MOBILE AT 20 FEET DI...READ MORE"
"Acer One Core i3 11th Gen 1115G4 - (8 GB/512 GB SSD/Windows 11 Home) AO 14 Z 8-415 Thin and Light Laptop  (14 Inch, Silver, 1.49 Kg)","₹26,990",Z8-415,Thin and Light Laptop,4.2,Nice productValue for money but could be betterREAD MORE
"Acer One Core i3 11th Gen 1115G4 - (8 GB/512 GB SSD/Windows 11 Home) AO 14 Z 8-415 Thin and Light Laptop  (14 Inch, Silver, 1.49 Kg)","₹26,990",Z8-415,Thin and Light Laptop,4.2,Display issueREAD MORE
"Acer One Core i3 11th Gen 1115G4 - (8 GB/512 GB SSD/Windows 11 Home) AO 14 Z 8-415 Thin and Light Laptop  (14 Inch, Silver, 1.49 Kg)","₹26,990",Z8-415,Thin and Light Laptop,4.2,NiceREAD MORE
"Acer One Core i3 11th Gen 1115G4 - (8 GB/512 GB SSD/Windows 11 Home) AO 14 Z 8-415 Thin and Light Laptop  (14 Inch, Silver, 1.49 Kg)","₹26,990",Z8-415,Thin and Light Laptop,4.2,"Product is good and decent. It is completely value for money. Like there are a lot of things where the company cuts the price. For example Speakers, Display, Keyboard. Speaker is just speaker no base or high volume. Display is also Not very good not very bad and Keyboard is like decent there is no backlight keyboard and Alphabets or number on keys are also like simple white coloured Sticker. I mean this laptop is totally worth it with the cost. If you want to use it like simple meetings, Offi...READ MORE"
"Acer One Core i3 11th Gen 1115G4 - (8 GB/512 GB SSD/Windows 11 Home) AO 14 Z 8-415 Thin and Light Laptop  (14 Inch, Silver, 1.49 Kg)","₹26,990",Z8-415,Thin and Light Laptop,4.2,Very good productREAD MORE
"Acer One Core i3 11th Gen 1115G4 - (8 GB/512 GB SSD/Windows 11 Home) AO 14 Z 8-415 Thin and Light Laptop  (14 Inch, Silver, 1.49 Kg)","₹26,990",Z8-415,Thin and Light Laptop,4.2,It is a value for money product...#Pros..DisplayProcessorBatteryRamOS Windows 11#Cons...Built qualityCameraGraphicsSpeakersREAD MORE
"Acer One Core i3 11th Gen 1115G4 - (8 GB/512 GB SSD/Windows 11 Home) AO 14 Z 8-415 Thin and Light Laptop  (14 Inch, Silver, 1.49 Kg)","₹26,990",Z8-415,Thin and Light Laptop,4.2,Super 👌mastREAD MORE
"HP 2023 Athlon Dual Core 3050U - (8 GB/512 GB SSD/Windows 11 Home) 15s-ey1509AU Thin and Light Laptop  (15.6 Inch, Natural Silver, 1.69 Kg, With MS Office)","₹29,990",15s-ey1509AU,Thin and Light Laptop,4.1,"Price wise decent deal with nice battery backup.moderate performance but efficient for day to day work, word Excel works great .it is baked with  AMD Radeon processorREAD MORE"
"HP 2023 Athlon Dual Core 3050U - (8 GB/512 GB SSD/Windows 11 Home) 15s-ey1509AU Thin and Light Laptop  (15.6 Inch, Natural Silver, 1.69 Kg, With MS Office)","₹29,990",15s-ey1509AU,Thin and Light Laptop,4.1,Nice laptopREAD MORE
"HP 2023 Athlon Dual Core 3050U - (8 GB/512 GB SSD/Windows 11 Home) 15s-ey1509AU Thin and Light Laptop  (15.6 Inch, Natural Silver, 1.69 Kg, With MS Office)","₹29,990",15s-ey1509AU,Thin and Light Laptop,4.1,Very nice i like it just go for it tq u flikcart team n so fast delivery..... I didn't expect that much fast..... N nice laptop i like itREAD MORE
"HP 2023 Athlon Dual Core 3050U - (8 GB/512 GB SSD/Windows 11 Home) 15s-ey1509AU Thin and Light Laptop  (15.6 Inch, Natural Silver, 1.69 Kg, With MS Office)","₹29,990",15s-ey1509AU,Thin and Light Laptop,4.1,Good productREAD MORE
"HP 2023 Athlon Dual Core 3050U - (8 GB/512 GB SSD/Windows 11 Home) 15s-ey1509AU Thin and Light Laptop  (15.6 Inch, Natural Silver, 1.69 Kg, With MS Office)","₹29,990",15s-ey1509AU,Thin and Light Laptop,4.1,Nice product and service very good facilitiesREAD MORE
